,name,host_id,host_name,property_type,room_type,bedrooms,beds,bathrooms,bathrooms_text,accommodates,description,price,neighbourhood_cleansed,latitude,longitude,number_of_reviews,last_review,minimum_nights,availability_365,review_scores_rating
2428,Barros Borgoño providencia departamento,162565707,Darwin Alexis,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,Enjoy the simplicity of this quiet and centrally-located place to stay<br />In Providencia metro Manuel Mont,"$35,959.50",Providencia,-33.42916649509755,-70.61926390975714,82,2026-06-10,2.0,307,4.71
2429,Modern cozy well-located | Free WiFi + Parking,55704685,Jorge,Entire rental unit,Entire home/apt,2.0,3.0,2.0,2 baths,4,"Enjoy a stylish and fully equipped space, perfect for travelers and families.<br />Relax with a spectacular city view, high-speed WiFi, digital key access, and private parking.<br /><br />📍 Prime location: close to restaurants, shops, public transportation, and highways, with quick access to Santiago’s main tourist attractions.<br /><br />A place designed to offer you comfort, style, and privacy, ensuring an unforgettable experience.<br />✨ Book now! ✨","$97,000.00",Santiago,-33.43209,-70.65824,23,2026-06-13,1.0,296,4.96
2430,Departamento céntrico Santiago (16),188608950,Julio Perez,Entire condo,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Accommodation that has a strategic location in downtown Santiago. You can easily access the historic center, public transport, banks, medical centers, different companies and services for both tourism or work. <br />The apartment is impeccable in a modern building with good security service.<br />You'll always be accompanied by the host for whatever you need. <br />You won't regret it.<br /><br />Check-in: 3:00 P.M.<br />Check-out: 11:00","$42,224.00",Santiago,-33.4403546,-70.6567062,37,2025-11-19,1.0,89,4.22
2431,Departamento Centro de Santiago,306610663,Alexis,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,Enjoy the simplicity of this quiet and centrally-located accommodation.,"$37,088.00",Santiago,-33.43348,-70.65827,130,2026-06-17,1.0,359,4.78
2432,Excelente departamento equipado Barrio El Golf,120850532,Carmen-Paz,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Fully equipped apartment in an excellent location, close to a shopping center, the metro, and restaurants. <br />Located on floor 15, with a panoramic view. The building has a laundry room, gym, and locker room.","$79,882.33",Las Condes,-33.41237,-70.58849,0,,6.0,179,
2433,Providencia Apartment with parking,203311280,Carolina Y Pavel,Entire rental unit,Entire home/apt,2.0,4.0,2.0,2 baths,5,"Comfortable apartment equipped for 6 people in a PRO building in the heart of Providencia. Beautiful view of the Andes, next to the Manuel Montt subway station and in the middle of a neighborhood full of restaurants and tourist attractions.<br />Everyone is very welcome!","$78,553.50",Providencia,-33.42975,-70.61974,238,2026-05-24,4.0,145,4.69
2434,Dpto. Moderno Santiago Centro Metro 2 Min.,81771194,Rodolfo Andres,Entire rental unit,Entire home/apt,1.0,,1.0,1 bath,2,"Enjoy easy access to everything from this perfectly located home base, steps away from the Parque Almagro Metro station. <br />I invite you to get to know Santiago, starting with Paseo Bulnes, with varied cuisine, cafes and bars. We arrive at the Plaza de la Ciudadanía through the Civic District, La Moneda tourist attraction. Don't miss the La Moneda Cultural Center and Plaza de la Constitución.  <br />Parking, a roof terrace, and a gazebo are available, subject to availability.","$36,517.50",Santiago,-33.451354133093055,-70.65210431778668,76,2026-06-14,2.0,340,4.99
2435,Bright  & Cozy (130M2) unbeatable location,1825775,Sohad,Entire rental unit,Entire home/apt,2.0,3.0,2.0,2 baths,4,"Apartment of the 50 remodeled , 130 meters with a exquisite terrace, luminous.<br /><br />Unbeatable neighborhood, blocks from station Pedro de Valdivia Metro (subway) and commercial district of Providencia. 10 Minutes to downtown. <br /><br />You can walk to Cerro San Cristobal (Hill), Full comercial zone, Restaurants and bars,  Costanera Center,  Parks.<br /><br />A few meters: Minimarkets,  Greengrocery, Bakery, Laundry, Hairsalon, and more.<br /><br />The Apartment is full equipped and  and freshly clean.","$163,568.67",Providencia,-33.43252,-70.60975,36,2025-09-28,3.0,361,4.89
2436,Hostal República,484293156,Monica,Private room in guesthouse,Private room,1.0,1.0,1.0,1 private bath,1,"Comfortable room in downtown Santiago near Movistar Arena, La Moneda and the entire downtown area. We have Wi-Fi, hot water, and 6 shared bathrooms for guests.","$32,348.00",Santiago,-33.44915,-70.66493,0,,1.0,364,
2437,Metro Escuela Militar Gabanna SuitesLC5 Las Condes,364275284,Lucia,Entire rental unit,Entire home/apt,2.0,2.0,2.0,2 baths,4,"Apartment in Las Condes, Escuela Militar Metro. Located in a strategic area, right at the metro station. Area surrounded by banks, supermarkets, shops, cafes, restaurants, clinics and the main shopping centers such as the Costanera Center and Parque Arauco. Safe area, 24-hour security. Parking included.","$80,475.00",Las Condes,-33.414470977056595,-70.58485874509564,138,2026-06-14,1.0,316,4.7
2438,(Triple) Residencial Metro Republica,538423655,Sandra,Private room in guesthouse,Private room,1.0,3.0,1.0,1 bath,3,"Residencial Metro Republica is located in a historic area in downtown Santiago called Barrio Republica. It is in the center of an island of white houses, which are National Monuments, close to Universities, Government House, Movistar Arena, Fantasilandia, Barrio Meiggs and many places of interest with abundant private and public transportation, steps from Metro Line 1, close to Bus Terminal and Airport. All our rooms have a private bathroom","$68,471.00",Santiago,-33.44910352841285,-70.66917034377694,4,2024-06-04,1.0,269,5.0
2439,"Luxury Apartment Santiago | AC, Gym, 2 Smart TV",549484591,Juan Pablo,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"✨ Welcome to this exclusive and elegant premium apartment located in the heart of Santiago Centro, designed to provide comfort, rest and a high-level experience.<br />Ideal for tourists, business travelers, students, exchanges, concerts, medical procedures, or simply enjoying the city in style and tranquility.<br />🛋️ The apartment has a modern and luxurious living room, equipped with a comfortable sofa, an elegant armchair, and a dining room with eco-leather chairs.","$65,000.00",Santiago,-33.44129,-70.66895,2,2026-06-26,1.0,314,5.0
2440,TL:05 DPTO 2 DORM 2 BAÑOS,36608424,Giovanni,Entire rental unit,Entire home/apt,2.0,2.0,2.0,2 baths,4,LOCATED A FEW STEPS FROM THE METRO LOS LONES AND COSTANERA CENTER,"$140,160.00",Providencia,-33.42095,-70.60944,25,2025-11-09,1.0,335,4.16
2441,Apartamento barrio universitario,207135162,Nicolas,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Enjoy this quiet and centrally-located accommodation. Located in a university neighborhood is this studio apartment, steps from the Meiggs neighborhood and downtown Santiago. The building has all the amenities. Laundry room, swimming pool, barbecue, meeting room, etc.<br />The apartment has cable TV and WiFi in the building's reception area.","$55,521.00",Santiago,-33.45111,-70.67033,10,2024-07-19,1.0,269,4.8
2442,Departamento Vacacional Entero,194048662,Solange,Entire rental unit,Entire home/apt,2.0,6.0,1.5,1.5 baths,6,"Enjoy a memorable visit with a beautiful view of the city of Santiago!<br /><br />The apartment is located in the La Parva Ski Center, suitable for 6 people, has 2 bedrooms plus 2 beds in a living room, 1 1/2 bathroom, living/dining room, kitchenette, ski hall and terrace.<br /><br />The condominium has an outdoor heated pool, a common area next to the pool and 1 parking lot, all just 100 meters from the ski slopes, ideal for skiing from the apartment.","$491,847.20",Lo Barnechea,-33.33601,-70.29301,3,2025-08-15,3.0,31,4.67
2443,Apartamento Providencia Manuel Montt,374415720,Macarena,Entire rental unit,Entire home/apt,2.0,2.0,2.0,2 baths,4,"Located in the heart of Providencia, on Avenida Manuel Montt, this accommodation offers an excellent combination of comfort, connectivity and urban life. Just steps from the Manuel Montt metro station, it allows you to easily travel to the main tourist and commercial spots in Santiago. The area is known for its safe, modern atmosphere full of cafes, restaurants, bars and green areas.","$106,700.00",Providencia,-33.4289878,-70.6201214,2,2026-06-29,2.0,225,5.0
2444,The Parradise's Mapocho N23,655114551,Fabiana,Entire rental unit,Entire home/apt,1.0,,,1 bath,4,"Your family will be close to everything when you stay at this centrally-located place.<br /><br />Its an apartment in the city center of Santiago near to the metro, with one bedroom with matrimonial bed and in the living room a trundle bed as sofa for two extra visitors. <br /><br />Kitchen, Bathroom and little terrace.<br />Tv, internet, hot water.","$27,910.60",Santiago,-33.431177362905444,-70.65982748749747,66,2026-02-08,5.0,364,4.74
2445,Refugio en la nieve Farellones - El Colorado,18279488,Ivette,Entire rental unit,Entire home/apt,3.0,9.0,2.0,2 baths,10,"Cozy refuge in the center of Ski El Colorado, Farellones, 40 minutes from Santiago. <br /><br />Great viewpoint with stunning views of Santiago from the accommodation's terrace.<br /><br />Privileged location, a 5-minute walk to the slopes of the El Colorado Ski Center, which connect to Valle Nevado and La Parva.<br /><br />Kitchen equipped with complete dishes and all the necessary appliances for cooking. Grill on the terrace for barbecues.","$360,612.00",Lo Barnechea,-33.34663391113281,-70.29267883300781,29,2025-09-19,3.0,326,4.9
2446,Apartamento para 2 personas,107152483,Marcelo,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Enjoy a cozy and quiet space, ideal for resting after exploring the city. Located near the Palacio de La Moneda, in the heart of Santiago, we combine comfort, warm design and excellent connectivity. Whether for tourism or work, here you will find personalized attention and a relaxing atmosphere. Discover Santiago from the best location!","$56,000.00",Santiago,-33.43972312240591,-70.65562183293667,0,,1.0,365,
2447,Precioso depto en Edificio Vista El Águila II,51821697,Gerardo,Entire rental unit,Entire home/apt,4.0,7.0,4.0,4 baths,9,"Very well decorated apartment, cozy and with a breathtaking view","$753,787.80",Lo Barnechea,-33.33694,-70.29164,0,,5.0,67,
2448,TL: 07 DPTO 2 DORM 2 BAÑOS,36608424,Giovanni,Entire rental unit,Entire home/apt,2.0,2.0,2.0,2 baths,4,"JUST STEPS FROM THE METRO, THE LIONS AND COSTANERA CENTER","$232,188.00",Providencia,-33.4212,-70.60956,14,2022-09-28,1.0,335,3.93
2449,Departamento Home studio ° Full Equipado,680117423,Cristian Camilo,Entire rental unit,Entire home/apt,,2.0,1.0,1 bath,4,Your family will be close to everything when you stay at this centrally-located place.,"$87,600.00",Santiago,-33.44066,-70.65711,0,,1.0,364,
2450,Hab para 2 con baño privado en magno,1706950143647465663,Natalia,Shared room in bed and breakfast,Shared room,,1.0,1.0,1 shared bath,2,Enjoy easy access to popular shops and restaurants from this charming place to stay.,"$33,683.00",Providencia,-33.43362398345987,-70.61658525859463,0,,1.0,364,
2451,"Uptown Ethnic - 2BR,  Metro, Wifi, TV",124465868,Hernan,Entire rental unit,Entire home/apt,2.0,3.0,2.0,2 baths,4,"Cozy and spacious apartment within walking distance of the Manquehue metro and Apumanque shopping center.  Excellent location and connectivity in a safe residential neighborhood. View of the Cordillera along with balcony.<br /><br />Perfect for four people, it has private parking inside the building. Cozy and comfortable, located in a quiet area for walking and with easy access to transportation.","$114,715.20",Las Condes,-33.411,-70.5707,61,2026-05-31,5.0,328,4.54
2452,Departamento en La Parva,96483807,Felipe,Entire rental unit,Entire home/apt,2.0,3.0,2.0,2 baths,6,"Flawless apartment, with a locker system and boot warmer, central heating, equipped kitchen, elevator, generator.  It is equipped for 6 people with an incredible view of Santiago. Fine finishes. There is a bus that goes to the slopes that passes by the building's entrance.","$623,067.60",Lo Barnechea,-33.33863,-70.29207,0,,5.0,17,
2453,Habitación a pasos del metro Escuela Militar,455410,Sebastian,Private room in rental unit,Private room,1.0,1.0,1.0,1 private bath,1,"Cozy private room located in the heart of Las Condes, just steps from the Escuela Militar Metro station, in a safe, quiet, and very well-connected area.<br />The room has a private bathroom, ideal for those seeking greater comfort and independence during their stay. It has a 1.5-person bed.","$36,507.00",Las Condes,-33.416,-70.58382,1,2026-05-15,2.0,356,5.0
2454,Habitación independiente en patio,1841759,Kati,Private room in home,Private room,1.0,1.0,1.0,1 shared bath,1,,"$25,548.33",Providencia,-33.4309508,-70.6322544,4,2026-03-16,3.0,345,5.0
2455,Moderno Departamento en El Golf aire acondicionado,221700802,Paula,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Enjoy a stylish experience in this modern apartment in the El Golf sector of Las Condes, 2 blocks from the metro and close to great restaurants and a mall. Parking is included.<br /><br />The apartment has sheets, bath towels and a hairdryer.","$72,382.50",Las Condes,-33.4178594,-70.5946909,72,2026-05-17,2.0,324,4.85
2456,Nuñoa city,498759181,Marcelo,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Enjoy the simplicity of this quiet, centrally located place to stay on the 28th floor (without a safety net).","$40,534.00",Ñuñoa,-33.45405,-70.60964,175,2026-06-28,2.0,340,4.93
2457,“Santiago Centro: 2D/2B con estacionamiento”,427252361,Yadian,Entire rental unit,Entire home/apt,2.0,2.0,2.0,2 baths,3,"Relax with the whole family in this accommodation where you can breathe in the tranquility, very close to everything...","$51,974.00",Santiago,-33.4532265986107,-70.64852245151997,16,2026-06-13,1.0,300,4.88
2458,Dpto. Movistar Arena & Club hípico & Caupolicán.,387446588,Alejandra,Entire rental unit,Entire home/apt,1.0,2.0,1.0,1 bath,4,"Enjoy a comfortable stay at this cozy 17th-floor apartment, fully equipped for 2 to 4 people. It has 1 bedroom, 1 bathroom, and a sofa bed in the living room (2 beds), making it ideal for couples or small groups.<br /><br />Located in a strategic area, close to the Movistar Arena, Teatro Caupolicán, Fantasilandia, Club Hípico, and Metro Parque O'Higgins, it is perfect for attending events.<br /><br />Includes a fully equipped kitchen, towels, and linens for a convenient and comfortable stay.","$43,000.00",Santiago,-33.458771845611196,-70.65369945019484,24,2026-06-25,1.0,139,4.92
2459,Ubicación top El Golf + parking incluido,388095109,Maria Piedad,Entire rental unit,Entire home/apt,1.0,2.0,1.0,1 bath,3,"Modern and quiet apartment in the exclusive El Golf neighborhood in Las Condes, just steps from the metro and with excellent access to restaurants, offices, and financial centers. Ideal for work trips or rest in one of the best areas of Santiago. It features an en-suite bedroom, sofa bed, fully equipped kitchen, terrace, Wi-Fi, and Smart TV. Includes private and covered parking, towels, and bed sheets. Building with rooftop pool, barbecue and laundry. Self check-in with a digital lock.","$105,120.00",Las Condes,-33.41463,-70.58692,9,2026-06-17,1.0,350,5.0
2460,Apartamento 1,474064877,Cristhian Nicolás,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,3,"Enjoy the simplicity of this quiet and centrally-located accommodation. Close to restaurants, shops and 2 blocks from the Palacio de la Moneda","$45,500.00",Santiago,-33.440354,-70.656707,2,2026-01-01,1.0,364,4.5
2461,Studio Premium + Piscina + Gym + Parking |Santiago,549484591,Juan Pablo,Entire rental unit,Entire home/apt,1.0,1.0,,1 bath,2,"Beautiful forest-style apartment, an oasis of calm within a modern and very quiet building. Elegant and cozy decor, with a premium bed for a perfect rest. Enjoy its relaxing pool and excellent location in the historic center of Santiago, steps from the Cumming and Republic metro. Ideal for sightseeing or relaxing stays.<br />The best thing is the bed, it has a bed topper, which guarantees an excellent night's sleep.","$56,500.00",Santiago,-33.4421252,-70.669626,5,2026-06-23,1.0,336,4.6
2462,Acogedor y exclusivo departamento en Lastarria,428650890,Isabel,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Relax in this quiet and elegant space. Newly renovated and equipped apartment for travelers. Located in the tourist center and the best sector of Santiago, where you will be surrounded by culture, music, architecture and excellent cuisine.<br />Excellent lighting and no outside noise.<br />It has heating, wifi and all the essentials to help make your stay comfortable and cozy. Metro line steps from the apartment, access to buses and parking lots.","$78,173.00",Santiago,-33.43889619999999,-70.64191120000001,8,2026-05-26,2.0,281,4.88
2463,Departamento  Moderno en Pleno Centro de Santiago,584366590,Carolina,Entire rental unit,Entire home/apt,1.0,2.0,,1 bath,3,"Enjoy a comfortable and connected stay in the heart of Santiago. <br /><br />This cozy apartment is located steps from the La Moneda metro station, close to restaurants, coffee shops, supermarkets, and the city's main tourist attractions.<br /><br />Book your stay and experience Santiago from a strategic, comfortable, and safe location.","$27,799.00",Santiago,-33.44595838216532,-70.65428224771236,3,2026-06-17,2.0,324,4.67
2464,Hermoso departamento Barrio Lastarria,2134034,Paulina,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Thanks to the central location of this accommodation, you and yours will have everything at your fingertips. Comfortable spaces to rest after a day in the city. Excellent connection with public transport both to and from the airport, as well as to explore Santiago and its surroundings. Walking distance to shops, supermarkets, very good restaurants and terraces.","$43,641.25",Santiago,-33.43905,-70.64147,9,2025-11-30,4.0,181,5.0
2465,Estudio con Terraza Amplia en Corazon de Stgo,526403336,Bruno,Entire rental unit,Entire home/apt,1.0,1.0,,1 bath,2,"Stay in one of the most charming neighborhoods in Santiago. Enjoy a comfortable stay in a setting full of history, architecture, and urban life, ideal for those seeking to connect with the essence of Santiago.<br /><br />The building is located in the heart of the city, surrounded by shops and with excellent connectivity, 4 minutes from the Universidad de Chile Metro station. In addition, one weekend a month the neighborhood comes alive with a boutique market where you'll find independent design, live music and a unique atmosphere","$37,000.00",Santiago,-33.44532,-70.64829,59,2026-06-17,2.0,308,4.81
2466,Viajeros a bordo 3 habitacionales,469853387,Nicolas,Entire rental unit,Entire home/apt,3.0,1.0,2.0,2 baths,6,"🏡 Welcome to your home away from home<br />Enjoy a comfortable, modern and cozy stay in my apartment, ideal for travelers, couples or professionals looking for tranquility and a good location.<br /><br />📍 Prime location:<br />Located in a safe and quiet area, with easy access to public transportation, supermarkets, restaurants, and tourist attractions.","$107,841.00",Santiago,-33.4402812,-70.6572312,0,,1.0,364,
2467,Unit for 4 in Santiago near Movistar and subway,671861160,Robustheit Property SpA,Entire serviced apartment,Entire home/apt,2.0,3.0,2.0,2 baths,4,"Apartment in the heart of Santiago, with a bus stop less than 1 minute, metro is 15min away, all walking distance.  Or you can rent a bike through “BIKE ITAÚ”  which is just 1 min away walking. <br /><br />15min walking distance to Movistar arena, and just crossing the street to Club hípico. <br /><br />2 full beds, 2 private baths. <br /><br />We have laundry facilities for pay on the first floor, cowork spaces, gym and barbecue area on the rooftop. <br /><br />Maps for your taking and tours are available for a low price.","$95,000.00",Santiago,-33.4571035,-70.6682823,70,2026-05-15,1.0,338,4.96
2468,Apartamentos Rosa,598586026,Rosa Valentina,Entire rental unit,Entire home/apt,1.0,3.0,1.0,1 bath,4,"Apartamentos Rosa is a comfortable and quiet accommodation, where you can enjoy your stay. It is located in downtown Santiago de Chile, close to the subway, supermarkets, restaurants, parks, shops, shopping center, walks and much more. <br /><br />10 minutes by Uber from the airport","$40,534.00",Santiago,-33.43971,-70.65577,40,2025-11-07,1.0,364,4.55
2469,Departamento en el golf,154750519,Andrea,Entire serviced apartment,Entire home/apt,1.0,1.0,1.5,1.5 baths,3,"Complete apartment of 42 square meters, with 1 bedroom, two bathrooms, equipped kitchen, microwave and refrigerator, with sofa bed in the living room and thermopanel windows.<br />It has underground parking.<br />Located in the middle of the El Golf neighborhood, 100 meters from the best restaurants and cafes, 2 blocks from the subway and 2 blocks from the Costanera Center mall.<br />Laundry in the building<br />24-hour concierge","$91,714.50",Las Condes,-33.41451,-70.60093,39,2026-06-27,2.0,317,4.85
2470,Santiago Centro | AC | Wi-Fi | Metro | SelfCheckin,177248143,James Flint,Entire rental unit,Entire home/apt,1.0,2.0,,1 bath,3,"✨ More space and comfort at the top! <br /><br />Located on the 4th floor, this apartment offers you peace of mind and direct access to the very heart of the Historic Center.<br /><br />Completely renovated and superior in equipment: <br /><br />• ❄️ Air Conditioning (Split) for cold and heat. <br />• 🛋️ Comfortable sofa bed for additional visitors. <br />• 📶 High-speed fiber optic Wi-Fi. <br />• 🛡️ 24-hour secure building with FREE luggage storage.<br /><br />We look forward to seeing you. PARKING SUBJECT TO AVAILABILITY.","$37,796.00",Santiago,-33.44076,-70.64597,124,2026-06-04,1.0,8,4.85
2471,Civic Apart,191229461,Johana,Entire rental unit,Entire home/apt,2.0,2.0,1.0,1 bath,4,"Great location in the civic center of Santiago de Chile, you can find everything you want to know and visit just a few steps away; mint, museums, constitution square, bars, restaurants, supermarket, alameda, shopping centers and much more.","$51,353.00",Santiago,-33.43965,-70.6558,4,2025-02-06,1.0,361,4.5
2472,Estudio en Santiago Centro / Movistar Arena,593630101,Luciana,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Enjoy a comfortable stay in this cozy studio with park views, right in the heart of Santiago.<br /><br />Ideal location, minutes from the Movistar Arena and Teatro Caupolicán, perfect for concerts or events.<br /><br />Fully equipped, quiet, and clean, ideal for resting or working.<br /><br />📍 Excellent location<br />☕ Close to cafés, green areas, and public transportation<br />🛏️ Ideal for short or medium-term stays","$39,941.00",Santiago,-33.45249,-70.6529,3,2026-05-05,2.0,351,5.0
2473,Depto san Sebastián Isidora,483335654,Silvia,Entire rental unit,Entire home/apt,1.0,2.0,1.0,1 bath,3,"Relax in this quiet, comfortable, beautifully decorated, and simple space, plus all the amenities your stay requires...<br /><br />The apartment is very tastefully decorated, with details that make a difference<br /><br />In addition to a prime location, close to everything you need! <br /><br />In a building located in the heart of Las Condes.","$69,487.00",Las Condes,-33.41487698149935,-70.59909947609651,9,2026-03-16,1.0,334,4.89
2474,Metro Manquehue | Terraza + Home Office,740104717,ReservaGroup,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,4,"Lifesuite, Las Condes | Metro Manquehue (3 min walk)<br /><br />One-bedroom apartment ideal for corporate trips and couples: king-size bed, home office🧑‍💻, 500 Mbps fiber WiFi, air conditioning, terrace with windows (very good sound insulation when closed).🔇<br /><br /> 24/7 check-in with a digital lock.<br />View of Av. Manquehue from the terrace.","$140,000.00",Las Condes,-33.4058377,-70.5674074,1,2026-06-09,1.0,297,5.0
2475,The Parradise's Teatinos,655114551,Fabiana,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Enjoy a stylish experience at this centrally-located place.<br /><br />Stunning Swimming pool area in the roof top of the building charming and care staff member of reception look after 24/7, Cameras , Security.<br /><br />Three Subway station near of the bulding , 2 blocks from the city center, bus to costanera center, many shop near like Subway, Coffee shop, Pizza place, supermarket.","$25,605.70",Santiago,-33.4333764,-70.655255,0,,10.0,344,
2476,Moderno departamento en el corazón de Ñuñoa,426618832,Francisco,Entire serviced apartment,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Modern apartment in Ñuñoa, quiet and well connected. <br /><br />Connected, just 10 minutes by metro from Ñuñoa and Monseñor and 5 minutes from the bus stop. Connected to downtown Santiago, the North and East areas. <br /><br />15 min from the National Stadium.<br /><br />Surrounded by restaurants, coffee shops, pharmacies, and other amenities. <br /><br />On Sundays, the main street is closed for sports activities.<br /><br />Private entrance.<br /><br />Seasonal pool access.<br />Access to laundry, with an app for an additional fee.","$45,690.00",Ñuñoa,-33.45392,-70.60783,1,2026-06-11,2.0,355,5.0
2477,Renovado Estudio en el Corazón de Santiago,108301518,Gonzalo Reyes,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Enjoy a comfortable and modern stay in this renovated studio located in the heart of Santiago. Perfect for tourism, business trips, or remote work.<br /><br />Its excellent location makes it easy to explore Santiago’s Historic Center, Paseo Bulnes, La Moneda Palace, museums, restaurants, and the city’s main attractions.","$37,137.50",Santiago,-33.4469821,-70.6520951,1,2026-06-26,2.0,348,5.0
2478,HOM | Metro | Las Condes | Calefacción | Parking,287196445,Hom,Entire rental unit,Entire home/apt,2.0,3.0,2.0,2 baths,4,"Next to the Escuela Militar Metro station!<br />Modern Apartment with Rooftop Deck and Parking in Las Condes <br />Located at Av. Américo Vespucio Norte 22, this elegant and bright 2-bedroom apartment for 4 people awaits you with everything you need for a comfortable stay.<br /><br />HOM Chile:<br />We are a company specialized in vacation and corporate leases, oriented to those looking for rest, tranquility and an excellent location. We are part of the Vacation Rental Management Association (","$127,367.00",Las Condes,-33.41392333866426,-70.58482049870102,5,2026-06-26,2.0,323,5.0
2479,Céntrico Departamento 1D1B,691349874,Yasna,Entire rental unit,Entire home/apt,1.0,2.0,1.0,1 bath,3,Enjoy the simplicity of this quiet and centrally-located accommodation.,"$41,945.50",Santiago,-33.4529799,-70.6486181,21,2026-06-15,2.0,311,4.76
2480,"Apartamento en barrio El Golf, Las Condes",16899343,Francisco,Entire rental unit,Entire home/apt,2.0,3.0,2.0,2 baths,5,"The apartment is located in one of the best areas of Santiago, steps from the subway, in an area full of restaurants, cafes and shopping. The apartment is very comfortable and has two bedrooms, the main one with a double bed and private bathroom and the small room with a single trundle bed. It has good internet and TV in the main room.<br /><br />A camping cot can also be provided for a fifth person.","$72,464.50",Las Condes,-33.41573979072175,-70.59985083253173,41,2026-06-05,1.0,242,4.63
2481,Departamento Barrio Lastarria.,577957555,Eduardo,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,3,"Beautiful newly remodeled one-bedroom apartment. Double bed and a futon, enabled for 3 people. It is located in the heart of the Lastarria neighborhood, a place with restaurants and bars. 30 meters from the Universidad Católica Metro station. Classic neighborhood of Santiago, next to Cerro Santa Lucia, close to downtown and with excellent connectivity. This place is strategically located - it will be very easy to plan your visit!","$45,057.00",Santiago,-33.439193359667684,-70.64156581347812,70,2026-06-27,1.0,357,4.64
2482,M&C Departamento Teatro Caupolicán 317,665101446,M & C,Entire rental unit,Entire home/apt,1.0,2.0,1.0,1 bath,3,"Charming modern-style apartment located in the heart of Santiago. 10 minutes from the Parque Almagro Metro, Parque O'Higgins Metro and Matta Metro, with tourist places such as Movistar Arena, Club Hípico, Caupolican Theater and endless places to recreate during your stay. It's an ideal apartment to feel better than at home.","$70,377.00",Santiago,-33.45672542300805,-70.65105613321066,38,2026-06-12,1.0,342,4.92
2483,Departamento/Movistar/República Club Hípico/ 16,671861160,Robustheit Property SpA,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Apartment in an excellent location, with bus stop 1 minute walk, Toesca metro 15 minutes, 15 minute walk to Movistar, Barrio República, Fantasílandía, Ohiggins Park, Equestrian Club, Barrio Meiggs.<br />1 bedroom with a double bed and a private bathroom, equipped kitchen.<br />Laundry and Coworking service available, outdoor gym with terrace and barbecue*.<br />Maps available, and low-cost TOURS of Santiago.","$32,405.00",Santiago,-33.4571,-70.66828,85,2026-06-09,1.0,360,4.94
2484,Departamento full Amoblado para 6 personas,107152483,Marcelo,Entire rental unit,Entire home/apt,2.0,5.0,1.0,1 bath,6,Bring the whole family to this great place with lots of room for fun.,"$100,000.00",Santiago,-33.44111,-70.65699,3,2025-05-19,1.0,320,4.33
2485,Nordic Suite LC | Metro Manquehue | Parque Arauco,341787420,Sebastian,Entire rental unit,Entire home/apt,2.0,2.0,2.0,2 baths,4,"Elegant and comfortable apartment, fully equipped, with two bedrooms and two full bathrooms, located in the heart of Las Condes, steps from the Manquehue metro, Parque Araucano, Parque Arauco, Restaurants, Supermarkets and financial center. Ideal for tourists, executives and small families. <br /><br />The Main Room is heated by Air Conditioning.<br /><br />The building has a pool, gym, barbecue, multipurpose room, 24/7 concierge. Everything you need for an excellent stay.","$104,739.00",Las Condes,-33.405178658034764,-70.5697912350297,53,2026-06-27,2.0,33,5.0
2486,Departamento Santiago Centro 4,306610663,Alexis,Entire rental unit,Entire home/apt,1.0,1.0,1.0,1 bath,2,"Centrally located apartment 3 blocks from Santa Ana station, Teleton Theater, Traumatological Hospital, Central Market, Plaza de Armas, Estación Mapocho, Courts of Family, Supreme Court among other places in the center of Santiago.<br />The apartment has all the essentials for a comfortable, private, and cozy stay, such as hand and body towels, soap, hair dryer, kitchen utensils, refrigerator, TV, Wi-Fi, and Netflix.<br />No Oven<br />The apartment has free parking.","$37,639.00",Santiago,-33.43526,-70.65859,464,2026-06-09,1.0,361,4.81
2487,Dpto. 3D 1B con aire y parking gratis,662557744,Ale,Entire rental unit,Entire home/apt,2.0,5.0,1.0,1 bath,6,Relax with the whole family in this home where the tranquility is breathable.,"$74,747.00",Independencia,-33.40316,-70.67326,0,,2.0,365,
2488,Departamento 6 personas Casco Histórico,422912223,Karla,Entire rental unit,Entire home/apt,1.0,5.0,1.0,1 bath,6,Your family will be close to everything when you stay at this centrally-located place.,"$147,649.00",Santiago,-33.44102,-70.65815,0,,1.0,324,
